AVENIDA ANTARTICA	408	BARRA FUNDA	S.PAULO	SP	-23,5228513138	-46,669214556	Via pública	2635
RUA CAPITAO GUILHERME POMPEU	287	JARDIM COLINA	S.PAULO	SP	-23,6178796688	-46,6208738871	Outros	21925
AVENIDA REGINA MARGARETE PASSOS	400	MASSAGUACU	CARAGUATATUBA	SP	-23,580250089	-45,333732155	Estabelecimento de ensino	15714
AVENIDA PRESTES MAIA	925	REPUBLICA	S.PAULO	SP	-23,5382721766	-46,6338441031	Terminal/Estação	27684
RUA DA MOOCA	400		S.PAULO	SP	-23,5536034032	-46,621440319	Outros	25509
RUA ONOFRIO DI LIONE	142	CIDADE LIDER	S.PAULO	SP	-23,5541035903	-46,5012542912	Outros	32164
AVENIDA ALFREDO ANTÔNIO DE OLIVEIRA	0	RURAL	S.JOSE DO RIO PRETO	SP	-20,772931337	-49,385647402	Via pública	10352
ALAMEDA TOCANTIS	0		BARUERI	SP	-23,4979113486	-46,8536711777	Via pública	29765
AVENIDA PRESIDENTE ALTINO	1619	JAGUARE	S.PAULO	SP	-23,541438058	-46,7530004701	Via pública	35404
RODOVIA JOSE SIMÕES LOURO JUNIOR	256	VILA CALU	ITAPECERICA DA SERRA	SP	-23,746032031	-46,798307457	Via pública	22995
RUA JUVENAL COIMBRA	797	RURAL	CERQUEIRA CESAR	SP	-23,034030889	-49,172594105	Comércio e serviços	33192
RUA DOS GUARANTÃS	7	VALO VELHO	ITAPECERICA DA SERRA	SP	-23,7019700254	-46,7948836651	Via pública	36658
AVENIDA BRANCA DE AZEVEDO	1216	SANTA ROSA	PIRACICABA	SP	-22,679638358	-47,631253992	Via pública	23593
AVENIDA JOAO DIAS MAINARDI	18	JARDIM HELENA	S.PAULO	SP	-23,4857405761	-46,3880424872	Via pública	38676
RUA OSCAR FREIRE	1800	JARDIM PAULISTA	S.PAULO	SP	-23,5566205957	-46,6746226449	Via pública	23310
RUA NILTON COELHO DE ANDRADE	0	VILA MARIA	S.PAULO	SP	-23,522720303	-46,584205545	Via pública	36733
Rua Comendador Alípio Pedro Ronchety	10	Assunção	S.BERNARDO DO CAMPO	SP	-23,723707958	-46,553899302	Outros	18380
